latitude,longitude,ID
-0.023559,37.906193,CSA0234
-0.023559,37.906193,CSA0235
-0.023559,37.906193,CSA0236
-0.023559,37.906193,CSA0237
-1.940278,29.873888,CSA0238
20.593684,78.96288,CSA0239
20.593684,78.96288,CSA0240
20.593684,78.96288,CSA0241
20.593684,78.96288,CSA0242
7.873054,80.771797,CSA0243
7.873054,80.771797,CSA0244
7.873054,80.771797,CSA0245
7.873054,80.771797,CSA0246
7.873054,80.771797,CSA0247
26.7465203,94.2025859,CSA0248
26.7465203,94.2025859,CSA0249
26.7465203,94.2025859,CSA0250
-0.023559,37.906193,CSA0251
-0.023559,37.906193,CSA0252
-0.023559,37.906193,CSA0253
-0.023559,37.906193,CSA0254
-0.023559,37.906193,CSA0255
-0.023559,37.906193,CSA0256
-0.023559,37.906193,CSA0257
-0.023559,37.906193,CSA0258
-0.023559,37.906193,CSA0259
-0.023559,37.906193,CSA0260
-0.023559,37.906193,CSA0261
-0.023559,37.906193,CSA0262
-0.023559,37.906193,CSA0263
-0.023559,37.906193,CSA0264
-0.023559,37.906193,CSA0265
-0.023559,37.906193,CSA0266
-0.023559,37.906193,CSA0267
-0.023559,37.906193,CSA0268
-0.023559,37.906193,CSA0269
-0.023559,37.906193,CSA0270
-0.023559,37.906193,CSA0271
-0.023559,37.906193,CSA0272
-0.023559,37.906193,CSA0273
-0.023559,37.906193,CSA0274
-0.023559,37.906193,CSA0275
-0.023559,37.906193,CSA0276
-0.023559,37.906193,CSA0277
-0.023559,37.906193,CSA0278
-0.023559,37.906193,CSA0279
-0.023559,37.906193,CSA0280
-0.023559,37.906193,CSA0281
-0.023559,37.906193,CSA0282
-0.023559,37.906193,CSA0283
-0.023559,37.906193,CSA0284
-0.023559,37.906193,CSA0285
-0.023559,37.906193,CSA0286
-0.023559,37.906193,CSA0287
-0.023559,37.906193,CSA0288
-0.023559,37.906193,CSA0289
-0.023559,37.906193,CSA0290
-0.023559,37.906193,CSA0291
-0.023559,37.906193,CSA0292
-0.023559,37.906193,CSA0293
-0.023559,37.906193,CSA0294
-0.023559,37.906193,CSA0295
-0.023559,37.906193,CSA0296
-0.023559,37.906193,CSA0297
-0.023559,37.906193,CSA0298
-0.023559,37.906193,CSA0299
-0.023559,37.906193,CSA0300
-0.023559,37.906193,CSA0301
-0.023559,37.906193,CSA0302
-0.023559,37.906193,CSA0303
-0.023559,37.906193,CSA0304
-0.023559,37.906193,CSA0305
-0.023559,37.906193,CSA0306
-0.023559,37.906193,CSA0307
-0.023559,37.906193,CSA0308
-0.023559,37.906193,CSA0309
-0.023559,37.906193,CSA0310
-0.023559,37.906193,CSA0311
-0.023559,37.906193,CSA0312
-0.023559,37.906193,CSA0313
-0.023559,37.906193,CSA0314
-0.023559,37.906193,CSA0315
-0.023559,37.906193,CSA0316
-0.023559,37.906193,CSA0317
-0.023559,37.906193,CSA0318
-0.023559,37.906193,CSA0319
-0.023559,37.906193,CSA0320
-0.023559,37.906193,CSA0321
-0.023559,37.906193,CSA0322
-0.023559,37.906193,CSA0323
-0.023559,37.906193,CSA0324
-0.023559,37.906193,CSA0325
-0.023559,37.906193,CSA0326
-0.023559,37.906193,CSA0327
-0.023559,37.906193,CSA0328
-0.023559,37.906193,CSA0329
-0.023559,37.906193,CSA0330
-0.023559,37.906193,CSA0331
-0.023559,37.906193,CSA0332
-0.023559,37.906193,CSA0333
-0.023559,37.906193,CSA0334
-0.023559,37.906193,CSA0335
-0.023559,37.906193,CSA0336
-0.023559,37.906193,CSA0337
-0.023559,37.906193,CSA0338
-0.023559,37.906193,CSA0339
-0.023559,37.906193,CSA0340
-0.023559,37.906193,CSA0341
-0.023559,37.906193,CSA0342
-0.023559,37.906193,CSA0343
-0.023559,37.906193,CSA0344
-0.023559,37.906193,CSA0345
-0.023559,37.906193,CSA0346
-0.023559,37.906193,CSA0347
-0.023559,37.906193,CSA0348
-30.559482,22.937506,CSA0356
-30.559482,22.937506,CSA0357
-30.559482,22.937506,CSA0358
-30.559482,22.937506,CSA0359
-30.559482,22.937506,CSA0360
